排名,学校名称,省市,学校类型,是否双一流,是否985,是否211,总分,办学层次,人才培养,办学资源,国际竞争,学科水平,师资力量,服务社会,科学研究,重大项目,高端人才
1,清华大学 ,北京,综合,双一流,985,211,1004.1,37.5,328.6,50,91.8,77.1,53.7,46.9,105.7,124,88.8
2,北京大学 ,北京,综合,双一流,985,211,910.5,35,309.7,33.8,85.1,74.3,54,17.3,101.2,108.9,91.2
3,浙江大学 ,浙江,综合,双一流,985,211,822.9,35.9,287.8,28.8,63.1,67.2,51.1,30.7,100,88.5,69.6
4,上海交通大学 ,上海,综合,双一流,985,211,778.6,35.7,261.7,29.6,49.5,60.4,52.4,27.8,104.5,90.7,66.3
5,复旦大学 ,上海,综合,双一流,985,211,712.4,36.5,253.9,20.8,55.7,61.9,51.1,20.5,84.3,61.8,65.8
6,南京大学 ,江苏,综合,双一流,985,211,676.2,37.7,271,10.4,35.2,56.6,50.1,13.8,74.1,67.1,60.3
7,中国科学技术大学 ,安徽,理工,双一流,985,211,608.6,40,228.7,15.6,54.5,40.4,50.4,13.2,74.5,39.2,52.2
8,华中科技大学 ,湖北,综合,双一流,985,211,606.2,32.2,247.9,20.1,36.1,43.6,50.4,18.3,69.7,50.3,37.7
9,武汉大学 ,湖北,综合,双一流,985,211,599.1,31.8,257.2,13.8,38.8,48.7,50,9.3,64.9,45.2,39.3
10,西安交通大学 ,陕西,综合,双一流,985,211,572.6,34.2,258,17.7,26.7,39.4,51.2,18.8,59.9,40.3,26.4
11,中山大学 ,广东,综合,双一流,985,211,570,31.1,207.8,16.8,43,48.2,51.3,8.9,90.2,29.7,42.9
12,四川大学 ,四川,综合,双一流,985,211,546.9,31.5,230.3,11.4,28.4,41.5,48,23.3,69.9,33.4,29.2
13,哈尔滨工业大学 ,黑龙江,理工,双一流,985,211,544.2,32.7,228.3,24.4,32.7,35.5,50.9,20.3,58.9,36.9,23.5
14,北京航空航天大学 ,北京,理工,双一流,985,211,543.5,33.4,224.5,16.8,26,36.8,49.4,19.1,52.9,58.3,26.4
15,东南大学 ,江苏,综合,双一流,985,211,532.3,35.4,228.9,14.5,28.6,43.1,49.6,19.1,51.4,40.6,20.9
16,北京理工大学 ,北京,理工,双一流,985,211,529.3,33.4,212.8,14.9,38.8,29.2,47.4,28.8,54.6,48.1,21.3
17,同济大学 ,上海,综合,双一流,985,211,527,33.2,221.4,14.7,21.4,39.2,48.2,15.8,63.5,38.8,30.9
18,中国人民大学 ,北京,综合,双一流,985,211,526.3,34.7,243.1,13.7,13.2,48.9,50.3,1.3,40.4,43.6,37.2
19,北京师范大学 ,北京,师范,双一流,985,211,523.4,33,226.4,17.4,31,45.5,50.4,4.6,47.3,33.2,34.7
20,南开大学 ,天津,综合,双一流,985,211,490.4,31.7,224,9.2,34.4,31.7,48.7,5.2,46.2,28.2,30.9
21,天津大学 ,天津,理工,双一流,985,211,480.5,33,206.6,12.4,32.8,32.3,48.1,17.4,46.7,25.2,25.9
22,山东大学 ,山东,综合,双一流,985,211,472.8,29.7,212.2,13.7,23.2,34.4,50.7,12.6,51.1,23.1,22.1
23,中南大学 ,湖南,综合,双一流,985,211,466.1,30.7,197.5,9.2,30.5,33.5,46.4,14.8,58.3,27.6,17.6
24,厦门大学 ,福建,综合,双一流,985,211,463.2,32.5,193.9,17.3,25.8,34.8,47.4,6.7,51.5,23.5,29.9
25,西北工业大学 ,陕西,理工,双一流,985,211,462,33.4,197.8,16,30.3,23.6,51.4,11.3,59.9,24.6,13.8
26,华南理工大学 ,广东,理工,双一流,985,211,444.2,30.8,189.6,10.3,33.4,29.8,46.6,21.3,46.9,16.6,18.8
27,吉林大学 ,吉林,综合,双一流,985,211,439.1,30.5,199.1,10.3,23.2,36.1,51.2,4.4,47.1,20.1,17.1
28,电子科技大学 ,四川,理工,双一流,985,211,437,32.2,202.9,11.4,36.3,22.5,42.9,11.5,35.7,21.5,20.1
29,湖南大学 ,湖南,综合,双一流,985,211,435.5,31.5,182.1,7.9,45.8,25.9,44.4,18.5,32.8,27.7,19
30,中国农业大学 ,北京,农业,双一流,985,211,432.8,31.8,174.4,8.9,26,35.8,47.5,7.9,42,36.4,22.1
31,华东师范大学 ,上海,师范,双一流,985,211,428.2,32.7,186.4,12.3,24,27.7,47.7,3.6,44.5,23.1,26.3
32,大连理工大学 ,辽宁,理工,双一流,985,211,417.4,31,190.8,8.2,19.4,26.8,47.7,10.3,37.2,31.4,14.5
33,南方科技大学 ,广东,综合,双一流,,,413,31.5,135.9,24.9,29.2,14.6,49.3,11,58,10.9,47.8
34,重庆大学 ,重庆,综合,双一流,985,211,397.7,30.3,181.9,10.2,18,26.5,45.4,13.7,45.4,13.1,13.1
35,北京科技大学 ,北京,理工,双一流,,211,382.8,33.1,181.2,7.7,17.5,22.1,44.3,8.8,36.5,19.7,12
36,南京理工大学 ,江苏,理工,双一流,,211,381.2,31.2,188.2,8.5,17.8,18.6,45.1,10.1,34.3,19.3,8.2
37,南京航空航天大学 ,江苏,理工,双一流,,211,376.6,30,184.6,8.7,15.3,21.4,44.5,10.3,37.3,13.9,10.6
38,东北大学 ,辽宁,理工,双一流,985,211,369.4,31.2,174.5,9,12.4,21.8,42.2,10.1,37.4,19.8,10.9
39,西安电子科技大学 ,陕西,理工,双一流,,211,363.8,30.6,184.3,8.3,10.8,18.7,41.8,10.5,28.6,22.1,7.9
40,兰州大学 ,甘肃,综合,双一流,985,211,362.2,31.5,162.6,7.6,14.3,26.7,44.2,7.5,35.5,19.4,12.9
40,苏州大学 ,江苏,综合,双一流,,211,362.2,29,143.8,8.4,38,23,46.8,8.2,32.1,17.5,15.4
42,华中农业大学 ,湖北,农业,双一流,,211,361,29.9,166.2,6,16.4,26.5,43.7,7,34.4,17.1,14.1
43,北京交通大学 ,北京,理工,双一流,,211,346.9,31.7,166.1,8.1,11.5,18.4,43.8,12.6,28.5,17.2,9.2
44,华东理工大学 ,上海,理工,双一流,,211,346.1,30.6,152.7,7.2,19,19.8,42.8,18.3,29.8,13.2,12.8
45,上海科技大学 ,上海,综合,双一流,,,343.3,36.9,136.8,22.2,18.1,11.9,48.6,20,22.1,4.9,21.7
46,郑州大学 ,河南,综合,双一流,,211,336.5,28.5,159.4,6.4,19.8,25.8,41.1,5.9,35.8,6.1,7.6
47,华中师范大学 ,湖北,师范,双一流,,211,334.2,30.3,162.9,6.2,16.3,22,42.2,0.3,27.5,12.5,13.9
48,上海大学 ,上海,综合,双一流,,211,333.2,32.1,141.7,9.7,21.9,20.7,44.6,6.8,29.4,13.8,12.6
49,哈尔滨工程大学 ,黑龙江,理工,双一流,,211,332.6,31.1,169.6,8.3,10.2,15.2,40.2,11.5,33.3,7.9,5.4
50,暨南大学 ,广东,综合,双一流,,211,332.4,28.8,135.4,8.3,19.7,22,43.4,8.4,35.1,13.4,18
51,南京农业大学 ,江苏,农业,双一流,,211,330.7,29.2,145.8,5.7,14.4,21.5,42.5,6.5,31,18.7,15.3
52,中国石油大学（北京） ,北京,理工,双一流,,211,330.1,32.8,142,7.3,11.8,14.8,39.3,14.6,29.8,25.9,11.8
53,东北师范大学 ,吉林,师范,双一流,,211,327.2,31.7,161.2,6.5,10.8,28.1,41.3,1.7,25.5,10.4,10.1
54,武汉理工大学 ,湖北,理工,双一流,,211,326.1,29.5,159.2,7.1,22.2,18.8,42.6,9.1,22.3,9.2,6.2
55,西南交通大学 ,四川,理工,双一流,,211,325.1,29,160.4,7.8,10,17.8,37.4,13.5,29.6,11.7,8.1
56,中国矿业大学 ,江苏,理工,双一流,,211,324,27.6,156.6,6.5,11.6,18.7,42.6,15.7,25.3,13.5,5.9
57,北京邮电大学 ,北京,理工,双一流,,211,323.4,30.7,169,4.8,10.8,16.6,40.5,6.8,21.1,15.4,7.7
58,南京师范大学 ,江苏,师范,双一流,,211,322.7,29.8,166.4,5.4,12.1,19.8,42.3,1.3,23.1,12.3,10.3
59,中国地质大学（武汉） ,湖北,理工,双一流,,211,322.5,30.9,148.4,6.1,21.8,18.6,42.2,7.1,26.7,8.7,12
60,江南大学 ,江苏,综合,双一流,,211,321.6,28.4,139.5,6.9,10.9,18.4,42.6,19.7,27.4,18.7,8.9
61,河海大学 ,江苏,理工,双一流,,211,320.9,31.4,151.4,5.8,11.4,19.1,41.8,6.8,28.5,17,7.7
62,中国海洋大学 ,山东,综合,双一流,985,211,319.8,31.4,144.1,7,12.5,20.1,44.4,3.1,26.8,17.5,12.9
63,北京工业大学 ,北京,理工,双一流,,211,314.2,30.8,159.2,7.8,10.9,16.7,44.5,6,22.5,7.9,7.9
64,北京化工大学 ,北京,理工,双一流,,211,309.6,28.7,144.2,5.8,20.9,11,39.9,13.1,25.5,9.8,10.7
65,西北大学 ,陕西,综合,双一流,,211,306.8,26.9,157,4.6,9.5,19,44.1,2.8,25.3,8.6,9
66,中国石油大学（华东） ,山东,理工,双一流,,211,304.4,28.1,151.8,7.7,12.1,16.3,39.6,10.8,18.5,13.9,5.7
67,陕西师范大学 ,陕西,师范,双一流,,211,301.7,29.7,154.3,5.8,11.5,18.2,43.5,0,21.5,6.8,10.4
68,深圳大学 ,广东,综合,,,,301.4,27.1,112.4,17.1,23.3,18,41.3,1.8,38.6,7.1,14.7
69,南昌大学 ,江西,综合,双一流,,211,299.5,27.3,157.6,5.5,14.5,18,35.9,6.9,26.4,3.1,4.3
70,浙江工业大学 ,浙江,理工,,,,298.8,30.3,151.9,6.2,12.1,14.1,39.7,8.3,23.5,6.5,6.2
71,中国地质大学（北京） ,北京,理工,双一流,,211,296,32.8,141.6,5.4,12.6,13.5,39.5,2.1,24.4,11,13.2
72,西南大学 ,重庆,综合,双一流,,211,294.5,27.1,139.4,6.7,9.4,23.5,42,3.7,27.5,7,8.3
73,福州大学 ,福建,理工,双一流,,211,290.6,28.9,145.2,5.5,19.4,15.3,37.2,8.2,23.1,1.8,5.9
74,西北农林科技大学 ,陕西,农业,双一流,985,211,288.1,29.5,139.8,6.5,13,17.8,43.7,1.3,24.2,5.9,6.2
75,华北电力大学 ,北京,理工,双一流,,211,287.6,29.6,137.6,5.9,11.4,12.3,39.4,13,25.8,6.6,5.9
76,中国矿业大学（北京） ,北京,理工,双一流,,211,284.2,31,129.5,3.6,6.7,14,39.3,11.5,18.8,23.3,6.4
77,东华大学 ,上海,理工,双一流,,211,284,28.8,137.9,6.2,11,15.2,40.5,6.6,20.6,9.7,7.5
78,江苏大学 ,江苏,综合,,,,283.4,27.1,126.7,5.1,21.7,15.6,44,13.6,17.3,8.7,3.7
79,华南师范大学 ,广东,师范,双一流,,211,281.5,28.1,135.5,8.1,13.3,18.7,39,1.3,19.7,8.1,9.8
80,云南大学 ,云南,综合,双一流,,211,281.3,31.3,127.7,7,13.3,19.7,39,2.6,24.5,7.9,8.3
81,扬州大学 ,江苏,综合,,,,279,26.5,132.2,6.7,14.3,18.7,39.3,4.7,20.9,11,4.7
82,北京林业大学 ,北京,林业,双一流,,211,278.8,28.3,143.4,4.3,7.7,16,41.8,1,19.4,10.9,6
83,合肥工业大学 ,安徽,理工,双一流,,211,270.4,27.5,134.6,5,8.4,17.3,40.6,6.7,20.7,4,5.6
84,宁波大学 ,浙江,综合,双一流,,,270.1,27.9,137.9,6.9,12,15,39.3,1.3,17.4,4.8,7.5
85,南京工业大学 ,江苏,理工,,,,268.5,26.7,122.9,4.7,20.9,10.9,38.3,11.1,16.5,10.4,6.2
86,南京邮电大学 ,江苏,理工,双一流,,,268.2,26,142.4,4.4,12.7,13.1,38.5,5.2,18.4,4.9,2.6
87,湖南师范大学 ,湖南,师范,双一流,,211,263.5,27.6,132.5,4.1,10.1,16.5,37.1,1.3,18.3,7.2,9
88,长安大学 ,陕西,理工,双一流,,211,258.5,27.6,132.5,5.6,12.1,11.5,39.3,4.1,19.8,3.4,2.7
89,首都师范大学 ,北京,师范,双一流,,,256.7,30.6,119.8,6.6,10,14.8,41.1,1.8,15.2,7.3,9.5
90,南京信息工程大学 ,江苏,理工,双一流,,,255.5,23,128.8,4.2,15.5,13.1,40.5,3,18.3,2.9,6
91,杭州电子科技大学 ,浙江,理工,,,,252.8,26.6,128.3,4.4,14.7,10.5,38.9,3.3,18.2,3.3,4.4
92,湘潭大学 ,湖南,综合,双一流,,,252.4,27,122.7,2.9,6.8,14.3,36,13.8,17.8,5.7,5.3
93,华南农业大学 ,广东,农业,双一流,,,252.3,24.8,117.3,6.2,12.1,15.3,38.3,4.3,16,11.4,6.5
94,燕山大学 ,河北,理工,,,,251.8,26.8,133.7,4.1,6.1,10.1,36.9,7.7,16.4,6.8,3.2
95,福建师范大学 ,福建,师范,,,,250.1,26.8,130.2,5,9.9,15.5,36.9,0,15,4.1,6.7
96,广西大学 ,广西,综合,双一流,,211,249,28.6,121.8,5.2,11,14.8,36.8,2.6,18.4,5.2,4.8
97,广州大学 ,广东,综合,,,,248.8,24.5,108.8,11.5,12.8,14.2,38,0.4,23.5,6.6,8.4
98,河南大学 ,河南,综合,双一流,,,248.1,26.5,119.6,5.9,10.4,18.3,38,1.1,17.3,5,6
99,大连海事大学 ,辽宁,综合,双一流,,211,246.7,28.2,129.2,4.2,9.5,12.4,37.5,2.7,15.8,3.8,3.4
100,浙江师范大学 ,浙江,师范,,,,246.4,25.7,120,4.9,19.2,12.4,36.8,1.9,14.7,4.7,6.2
101,广东工业大学 ,广东,理工,,,,246.1,,,,,,,,,,
102,上海理工大学 ,上海,理工,,,,243.1,,,,,,,,,,
103,山西大学 ,山西,综合,双一流,,,241.3,,,,,,,,,,
104,安徽大学 ,安徽,综合,双一流,,211,240.4,,,,,,,,,,
105,山东师范大学 ,山东,师范,,,,237.7,,,,,,,,,,
106,河北工业大学 ,河北,理工,双一流,,211,236.8,,,,,,,,,,
107,青岛大学 ,山东,综合,,,,236.6,,,,,,,,,,
107,太原理工大学 ,山西,理工,双一流,,211,236.6,,,,,,,,,,
109,贵州大学 ,贵州,综合,双一流,,211,235.6,,,,,,,,,,
110,南京林业大学 ,江苏,林业,双一流,,,234.5,,,,,,,,,,
111,上海师范大学 ,上海,师范,,,,232.8,,,,,,,,,,
111,武汉科技大学 ,湖北,理工,,,,232.8,,,,,,,,,,
113,内蒙古大学 ,内蒙古,综合,双一流,,211,231.3,,,,,,,,,,
114,浙江理工大学 ,浙江,理工,,,,231.1,,,,,,,,,,
115,东北林业大学 ,黑龙江,林业,双一流,,211,228.7,,,,,,,,,,
116,福建农林大学 ,福建,农业,,,,227.5,,,,,,,,,,
117,西安理工大学 ,陕西,理工,,,,227.3,,,,,,,,,,
118,海南大学 ,海南,综合,双一流,,211,226.7,,,,,,,,,,
119,江西师范大学 ,江西,师范,,,,223.8,,,,,,,,,,
120,东北农业大学 ,黑龙江,农业,双一流,,211,221.1,,,,,,,,,,
121,长沙理工大学 ,湖南,理工,,,,221,,,,,,,,,,
122,西安建筑科技大学 ,陕西,理工,,,,220.9,,,,,,,,,,
123,湖北大学 ,湖北,综合,,,,220.7,,,,,,,,,,
124,昆明理工大学 ,云南,理工,,,,219.8,,,,,,,,,,
125,江苏师范大学 ,江苏,师范,,,,213.2,,,,,,,,,,
126,山东科技大学 ,山东,理工,,,,211.4,,,,,,,,,,
127,辽宁大学 ,辽宁,综合,双一流,,211,209.4,,,,,,,,,,
128,西南石油大学 ,四川,理工,双一流,,,209.3,,,,,,,,,,
129,杭州师范大学 ,浙江,师范,,,,209.1,,,,,,,,,,
130,河北大学 ,河北,综合,,,,208.7,,,,,,,,,,
131,陕西科技大学 ,陕西,理工,,,,208.6,,,,,,,,,,
132,安徽师范大学 ,安徽,师范,,,,208.4,,,,,,,,,,
133,北京建筑大学 ,北京,理工,,,,207.9,,,,,,,,,,
134,华侨大学 ,福建,综合,,,,207.1,,,,,,,,,,
135,汕头大学 ,广东,综合,,,,204.6,,,,,,,,,,
136,新疆大学 ,新疆,综合,双一流,,211,204.3,,,,,,,,,,
137,江苏科技大学 ,江苏,理工,,,,202.4,,,,,,,,,,
138,石河子大学 ,新疆,综合,双一流,,211,201.7,,,,,,,,,,
139,中国计量大学 ,浙江,理工,,,,201.6,,,,,,,,,,
140,河南农业大学 ,河南,农业,,,,201.3,,,,,,,,,,
141,重庆邮电大学 ,重庆,理工,,,,200.9,,,,,,,,,,
142,湖北工业大学 ,湖北,理工,,,,199.9,,,,,,,,,,
142,沈阳农业大学 ,辽宁,农业,,,,199.9,,,,,,,,,,
142,四川农业大学 ,四川,农业,双一流,,211,199.9,,,,,,,,,,
145,武汉工程大学 ,湖北,理工,,,,199.6,,,,,,,,,,
146,山东农业大学 ,山东,农业,,,,198.4,,,,,,,,,,
147,长春理工大学 ,吉林,理工,,,,198.3,,,,,,,,,,
148,天津师范大学 ,天津,师范,,,,198,,,,,,,,,,
149,宁夏大学 ,宁夏,综合,双一流,,211,197.2,,,,,,,,,,
150,黑龙江大学 ,黑龙江,综合,,,,196.9,,,,,,,,,,
150,湖南农业大学 ,湖南,农业,,,,196.9,,,,,,,,,,
152,常州大学 ,江苏,理工,,,,195.6,,,,,,,,,,
153,浙江农林大学 ,浙江,林业,,,,195.2,,,,,,,,,,
154,河北师范大学 ,河北,师范,,,,195,,,,,,,,,,
155,河南师范大学 ,河南,师范,,,,194.5,,,,,,,,,,
156,成都理工大学 ,四川,理工,双一流,,,194.3,,,,,,,,,,
157,天津工业大学 ,天津,理工,双一流,,,193.5,,,,,,,,,,
158,温州大学 ,浙江,综合,,,,193.4,,,,,,,,,,
159,齐鲁工业大学 ,山东,理工,,,,193.2,,,,,,,,,,
160,广西师范大学 ,广西,师范,,,,191.5,,,,,,,,,,
161,南通大学 ,江苏,综合,,,,191.3,,,,,,,,,,
162,安徽农业大学 ,安徽,农业,,,,191.1,,,,,,,,,,
163,济南大学 ,山东,综合,,,,190.8,,,,,,,,,,
164,吉林农业大学 ,吉林,农业,,,,189.2,,,,,,,,,,
165,武汉纺织大学 ,湖北,理工,,,,188.9,,,,,,,,,,
166,南昌航空大学 ,江西,理工,,,,187.9,,,,,,,,,,
167,河南科技大学 ,河南,综合,,,,187.3,,,,,,,,,,
167,上海海洋大学 ,上海,农业,双一流,,,187.3,,,,,,,,,,
169,江西理工大学 ,江西,理工,,,,186,,,,,,,,,,
170,曲阜师范大学 ,山东,师范,,,,185.8,,,,,,,,,,
171,西安科技大学 ,陕西,理工,,,,184.9,,,,,,,,,,
172,集美大学 ,福建,综合,,,,184.4,,,,,,,,,,
173,三峡大学 ,湖北,综合,,,,184.3,,,,,,,,,,
174,北方工业大学 ,北京,理工,,,,182.4,,,,,,,,,,
175,安徽工业大学 ,安徽,理工,,,,182,,,,,,,,,,
176,延边大学 ,吉林,综合,双一流,,211,181.4,,,,,,,,,,
177,西北师范大学 ,甘肃,师范,,,,181.1,,,,,,,,,,
178,华东交通大学 ,江西,理工,,,,179.8,,,,,,,,,,
179,河南理工大学 ,河南,理工,,,,178.8,,,,,,,,,,
180,上海海事大学 ,上海,综合,,,,177.6,,,,,,,,,,
181,辽宁师范大学 ,辽宁,师范,,,,177.5,,,,,,,,,,
182,青岛科技大学 ,山东,理工,,,,177.3,,,,,,,,,,
183,河北农业大学 ,河北,农业,,,,176.5,,,,,,,,,,
183,中北大学 ,山西,理工,,,,176.5,,,,,,,,,,
185,天津科技大学 ,天津,理工,,,,176.3,,,,,,,,,,
186,长江大学 ,湖北,综合,,,,175.3,,,,,,,,,,
186,江西农业大学 ,江西,农业,,,,175.3,,,,,,,,,,
188,湖南科技大学 ,湖南,综合,,,,175.2,,,,,,,,,,
189,云南师范大学 ,云南,师范,,,,175.1,,,,,,,,,,
190,东华理工大学 ,江西,理工,,,,173.6,,,,,,,,,,
191,南华大学 ,湖南,综合,,,,173.5,,,,,,,,,,
192,西安邮电大学 ,陕西,理工,,,,172.3,,,,,,,,,,
192,浙江海洋大学 ,浙江,农业,,,,172.3,,,,,,,,,,
194,重庆交通大学 ,重庆,理工,,,,171.8,,,,,,,,,,
194,沈阳工业大学 ,辽宁,理工,,,,171.8,,,,,,,,,,
196,四川师范大学 ,四川,师范,,,,171.7,,,,,,,,,,
197,内蒙古农业大学 ,内蒙古,农业,,,,171.5,,,,,,,,,,
198,天津理工大学 ,天津,理工,,,,171.2,,,,,,,,,,
199,兰州理工大学 ,甘肃,理工,,,,170.9,,,,,,,,,,
199,上海电力大学 ,上海,理工,,,,170.9,,,,,,,,,,
201,安徽理工大学 ,安徽,理工,,,,170.1,,,,,,,,,,
202,国际关系学院 ,北京,综合,,,,169.9,,,,,,,,,,
203,沈阳航空航天大学 ,辽宁,理工,,,,168.8,,,,,,,,,,
204,中南林业科技大学 ,湖南,林业,,,,168.6,,,,,,,,,,
205,青海大学 ,青海,综合,双一流,,211,168.1,,,,,,,,,,
206,西南科技大学 ,四川,理工,,,,167.7,,,,,,,,,,
207,北京信息科技大学 ,北京,理工,,,,167.6,,,,,,,,,,
208,山东理工大学 ,山东,理工,,,,167.3,,,,,,,,,,
209,河南工业大学 ,河南,理工,,,,166.4,,,,,,,,,,
210,北京电子科技学院 ,北京,理工,,,,165.7,,,,,,,,,,
211,苏州科技大学 ,江苏,理工,,,,165.2,,,,,,,,,,
212,东北石油大学 ,黑龙江,理工,,,,164.5,,,,,,,,,,
213,上海工程技术大学 ,上海,理工,,,,163.6,,,,,,,,,,
214,哈尔滨师范大学 ,黑龙江,师范,,,,163.5,,,,,,,,,,
214,青岛理工大学 ,山东,理工,,,,163.5,,,,,,,,,,
214,烟台大学 ,山东,综合,,,,163.5,,,,,,,,,,
217,佛山科学技术学院 ,广东,理工,,,,163.4,,,,,,,,,,
218,华北水利水电大学 ,河南,理工,,,,163.3,,,,,,,,,,
219,青岛农业大学 ,山东,农业,,,,162.8,,,,,,,,,,
219,山西农业大学 ,山西,农业,,,,162.8,,,,,,,,,,
221,石家庄铁道大学 ,河北,理工,,,,162.5,,,,,,,,,,
222,哈尔滨理工大学 ,黑龙江,理工,,,,162.4,,,,,,,,,,
223,甘肃农业大学 ,甘肃,农业,,,,161.6,,,,,,,,,,
224,嘉兴学院 ,浙江,综合,,,,160.9,,,,,,,,,,
225,海南师范大学 ,海南,师范,,,,160.7,,,,,,,,,,
226,湖州师范学院 ,浙江,师范,,,,160.2,,,,,,,,,,
227,武汉轻工大学 ,湖北,理工,,,,159.8,,,,,,,,,,
228,重庆理工大学 ,重庆,理工,,,,159.7,,,,,,,,,,
229,兰州交通大学 ,甘肃,理工,,,,159.4,,,,,,,,,,
229,鲁东大学 ,山东,综合,,,,159.4,,,,,,,,,,
231,桂林电子科技大学 ,广西,理工,,,,159.2,,,,,,,,,,
232,西华师范大学 ,四川,师范,,,,159.1,,,,,,,,,,
233,北京农学院 ,北京,农业,,,,158.5,,,,,,,,,,
